FAC_NAME,YEAR_QTR,YEAR,PrivatePublic,TotalMargin,TYPE_HOSP
AGNEWS STATE HOSPITAL,20004,2000,Public,-0.077646524,State Hospitals
ALAMEDA COUNTY MEDICAL CENTER,20004,2000,Public,0.26856168,Comparable
ALAMEDA HOSPITAL,20004,2000,Private,-0.075115583,Comparable
ALHAMBRA HOSPITAL,20004,2000,Private,0.043341434,Comparable
ALTA BATES SUMMIT MED CTR-ALTA BATES,20004,2000,Private,-0.03746145,Comparable
ALTA HOSPITAL DISTRICT,20004,2000,Public,-0.249667355,Comparable
ALVARADO HOSPITAL MEDICAL CENTER,20004,2000,Private,0.187808831,Comparable
ALVARADO PARKWAY INSTITUTE BHS,20004,2000,Private,0.076973028,Comparable
AMERICAN RECOVERY CENTER,20004,2000,Private,0.036886217,Comparable
ANACAPA HOSPITAL,20004,2000,Private,0.008610902,Comparable
ANAHEIM GENERAL HOSPITAL,20004,2000,Private,-0.216511348,Comparable
ANAHEIM MEMORIAL MEDICAL CENTER,20004,2000,Private,-0.141091639,Comparable
ANTELOPE VALLEY HOSPITAL MEDICAL CENTER,20004,2000,Public,0.074719549,Comparable
ARROWHEAD REGIONAL MEDICAL CENTER,20004,2000,Public,-0.079814734,Comparable
ARROYO GRANDE COMMUNITY HOSPITAL,20004,2000,Private,0.012080503,Comparable
ATASCADERO STATE HOSPITAL,20004,2000,Public,-0.011091348,State Hospitals
AURORA CHARTER OAK,20004,2000,Private,0.164072882,Comparable
AURORA SAN DIEGO,20004,2000,Private,0.133199681,Comparable
AURORA VISTA DEL MAR HOSPITAL,20004,2000,Private,-0.062588568,Comparable
BAKERSFIELD HEART HOSPITAL,20004,2000,Private,0.149331768,Comparable
BAKERSFIELD MEMORIAL HOSPITAL,20004,2000,Private,-0.202086237,Comparable
BARLOW HOSPITAL,20004,2000,Private,-0.112576561,Comparable
BARSTOW COMMUNITY HOSPITAL,20004,2000,Private,0.247279507,Comparable
BARTON MEMORIAL HOSPITAL,20004,2000,Private,-0.074056838,Comparable
BAY HARBOR HOSPITAL,20001,2000,Private,-0.709147943,Comparable
BAYVIEW HOSPITAL & MENTAL HEALTH SYSTEM,20004,2000,Private,-0.069968372,Comparable
BEAR VALLEY COMMUNITY HOSPITAL,20004,2000,Public,-0.110414404,Comparable
BELLFLOWER MEDICAL CENTER,20004,2000,Private,0.008277496,Comparable
BETTY FORD CENTER OF EISENHOWER,20004,2000,Private,0.031880882,Comparable
BEVERLY HOSPITAL,20004,2000,Private,-0.070252077,Comparable
BHC ALHAMBRA HOSPITAL,20004,2000,Private,0.142481528,Comparable
BIGGS-GRIDLEY MEMORIAL HOSPITAL,20004,2000,Private,-0.214889909,Comparable
BREA COMMUNITY HOSPITAL,20004,2000,Private,-0.550935269,Comparable
BROTMAN MEDICAL CENTER,20004,2000,Private,0.127975749,Comparable
BUTTE COUNTY MENTAL HEALTH - PHF,20004,2000,Public,0,Psychiatric Health Facilities
CALIFORNIA HOSPITAL MEDICAL CENTER,20004,2000,Private,0.060404968,Comparable
CALIFORNIA PACIFIC MEDICAL CENTER,20004,2000,Private,0.137529856,Comparable
CANYON RIDGE HOSPITAL,20004,2000,Private,0.039584202,Comparable
CASA COLINA HOSPITAL FOR REHABILITATIVE,20004,2000,Private,-0.015570966,Comparable
CATALINA ISLAND MEDICAL CENTER,20004,2000,Private,-0.057894303,Comparable
CEDAR VISTA HOSPITAL,20004,2000,Private,0.064857372,Comparable
CEDARS-SINAI MEDICAL CENTER,20004,2000,Private,0.025350745,Comparable
CENTINELA FREEMAN M.C-MEMORIAL,20004,2000,Private,-0.168983333,Comparable
CENTINELA FREEMAN MED CTR-CENTINELA,20004,2000,Private,0.30631397,Comparable
CENTINELA FREEMAN MED CTR-MARINA,20004,2000,Private,-0.190723321,Comparable
CENTRAL VALLEY GENERAL HOSPITAL,20004,2000,Private,-0.151430659,Comparable
CENTRAL VALLEY ORTHOPEDIC & SPINE INST,20004,2000,Private,-0.143615015,Comparable
CENTURY CITY DOCTORS HOSPITAL,20004,2000,Private,-0.014019048,Comparable
CHAPMAN MEDICAL CENTER,20004,2000,Private,-0.020353898,Comparable
CHARTER BEHAVIORAL HEALTH SYSTEM - CORON,20001,2000,Private,-0.378540488,Comparable
CHARTER BEHAVIORAL HEALTH SYSTEM OF NO C,20001,2000,Private,-1.74317049,Comparable
CHARTER BHS OF SO CA/PALM SPRINGS,20001,2000,Private,-0.479784361,Comparable
CHILDRENS HOSP & RESEARCH CTR OAKLAND,20004,2000,Private,0.031305067,Comparable
CHILDRENS HOSP CENTRAL CALIF,20004,2000,Private,0.015244377,Comparable
CHILDRENS HOSPITAL AT MISSION,20004,2000,Private,-0.044381795,Comparable
CHILDRENS HOSPITAL OF LOS ANGELES,20004,2000,Private,0.038216791,Comparable
CHILDRENS HOSPITAL OF ORANGE COUNTY,20004,2000,Private,0.086599781,Comparable
CHILDRENS HOSPITAL-SAN DIEGO,20004,2000,Private,0.021520013,Comparable
CHILDRENS RECOVERY CENTER OF NORTHERN CA,20004,2000,Private,0.167094584,Comparable
CHINESE HOSPITAL,20004,2000,Private,0.065650764,Comparable
CHINO VALLEY MEDICAL CENTER,20004,2000,Private,0.157032179,Comparable
CHOWCHILLA DISTRICT MEMORIAL HOSPITAL,20004,2000,Public,-0.247885471,Comparable
CITRUS VALLEY MEDICAL CENTER - QV CAMPUS,20004,2000,Private,-0.072950549,Comparable
CITY OF ANGELS,20004,2000,Private,-0.13119696,Comparable
CITY OF HOPE NATIONAL MEDICAL CENTER,20004,2000,Private,0.069376992,Comparable
CLOVIS COMMUNITY HOSPITAL,20004,2000,Private,-0.121283263,Comparable
COALINGA REGIONAL MEDICAL CENTER,20004,2000,Public,-0.053120048,Comparable
COAST PLAZA DOCTORS HOSPITAL,20004,2000,Private,0.15400912,Comparable
COASTAL COMMUNITIES HOSPITAL,20004,2000,Private,0.131881792,Comparable
COLLEGE HOSPITAL,20004,2000,Private,-0.04287642,Comparable
COLLEGE HOSPITAL COSTA MESA,20004,2000,Private,0.014130642,Comparable
COLORADO RIVER MEDICAL CENTER,20004,2000,Private,0.226640169,Comparable
COLUSA REGIONAL MEDICAL CENTER,20004,2000,Private,-0.000986577,Comparable
COMMUNITY & MISSION HOSP-HTG PARK,20004,2000,Private,0.14690315,Comparable
COMMUNITY HOSPITAL OF LONG BEACH,20003,2000,Private,-0.448040295,Comparable
COMMUNITY HOSPITAL OF LOS GATOS,20004,2000,Private,-0.003117584,Comparable
COMMUNITY HOSPITAL OF MONTEREY PENINSULA,20004,2000,Private,0.054111236,Comparable
COMMUNITY HOSPITAL OF SAN BERNARDINO,20004,2000,Private,0.044129428,Comparable
COMMUNITY MEM HOSP-SAN BUENAVENTURA,20004,2000,Private,0.057305805,Comparable
COMMUNITY REGIONAL MEDICAL CENTER,20004,2000,Private,0.06717087,Comparable
CONTINENTAL REHAB HOSP FOR SAN DIEGO,20004,2000,Private,0.068887039,Comparable
CONTRA COSTA REGIONAL MEDICAL CENTER,20004,2000,Public,0.022324715,Comparable
CORCORAN DISTRICT HOSPITAL,20004,2000,Public,-0.10783497,Comparable
CORONA REGIONAL MEDICAL CENTER,20004,2000,Private,0.019110087,Comparable
DAMERON HOSPITAL,20004,2000,Private,0.030121855,Comparable
DEL AMO HOSPITAL,20004,2000,Private,0.036831636,Comparable
DELANO REGIONAL MEDICAL CENTER,20004,2000,Private,0.136680834,Comparable
DESERT REGIONAL MEDICAL CENTER,20004,2000,Private,0.285923663,Comparable
DESERT VALLEY HOSPITAL,20004,2000,Private,0.021251769,Comparable
DOCTORS HOSPITAL OF MANTECA,20004,2000,Private,0.163497655,Comparable
DOCTORS HOSPITAL OF WEST COVINA,20004,2000,Private,0.019857018,Comparable
DOCTORS MEDICAL CENTER,20004,2000,Private,0.359171443,Comparable
DOCTORS MEDICAL CENTER - PINOLE,20004,2000,Private,-0.225598674,Comparable
DOMINICAN SANTA CRUZ HOSPITAL - SOQUEL,20004,2000,Private,0.060758029,Comparable
DOS PALOS MEMORIAL HOSPITAL,20004,2000,Private,-0.13724652,Comparable
DOWNEY COMMUNITY HOSPITAL,20004,2000,Private,-0.15523437,Comparable
DRS MEDICAL CENTER - SAN PABLO-PINOLE,20004,2000,Private,0.055194266,Comparable
E & L MILLER CHILDRENS HOSPITAL,20004,2000,Private,-0.145560839,Comparable
EAST LOS ANGELES DOCTORS HOSPITAL,20004,2000,Private,-0.040080281,Comparable
EAST VALLEY HOSPITAL MED CTR,20004,2000,Private,-0.067913879,Comparable
EASTERN PLUMAS HEALTH CARE,20004,2000,Public,-0.068531284,Comparable
EDEN MEDICAL CENTER,20004,2000,Private,-0.053716664,Comparable
EDGEMONT HOSPITAL,20001,2000,Private,-0.052871582,Comparable
EISENHOWER MEDICAL CENTER,20004,2000,Private,-0.070644749,Comparable
EL CAMINO HOSPITAL,20004,2000,Private,-0.007073348,Comparable
EL CENTRO REGIONAL MEDICAL CENTER,20004,2000,Public,0.021940656,Comparable
EL DORADO COUNTY MENTAL HEALTH - PHF,20004,2000,Public,0,Psychiatric Health Facilities
ELASTAR COMMUNITY HOSPITAL,20004,2000,Private,-0.11487981,Comparable
EMANUEL MEDICAL CENTER,20004,2000,Private,-0.686633291,Comparable
ENCINO TARZANA REGIONAL MEDICAL CENTER,20004,2000,Private,0.038579293,Comparable
