FAC_NAME,YEAR_QTR,YEAR,PrivatePublic,TotalMargin
AGNEWS STATE HOSPITAL,20004,2000,Public,-0.077646524
ALAMEDA COUNTY MEDICAL CENTER,20004,2000,Public,0.26856168
ALAMEDA HOSPITAL,20004,2000,Private,-0.075115583
ALHAMBRA HOSPITAL,20004,2000,Private,0.043341434
ALTA BATES SUMMIT MED CTR-ALTA BATES,20004,2000,Private,-0.03746145
ALTA HOSPITAL DISTRICT,20004,2000,Public,-0.249667355
ALVARADO HOSPITAL MEDICAL CENTER,20004,2000,Private,0.187808831
ALVARADO PARKWAY INSTITUTE BHS,20004,2000,Private,0.076973028
AMERICAN RECOVERY CENTER,20004,2000,Private,0.036886217
ANACAPA HOSPITAL,20004,2000,Private,0.008610902
ANAHEIM GENERAL HOSPITAL,20004,2000,Private,-0.216511348
ANAHEIM MEMORIAL MEDICAL CENTER,20004,2000,Private,-0.141091639
ANTELOPE VALLEY HOSPITAL MEDICAL CENTER,20004,2000,Public,0.074719549
ARROWHEAD REGIONAL MEDICAL CENTER,20004,2000,Public,-0.079814734
ARROYO GRANDE COMMUNITY HOSPITAL,20004,2000,Private,0.012080503
ATASCADERO STATE HOSPITAL,20004,2000,Public,-0.011091348
AURORA CHARTER OAK,20004,2000,Private,0.164072882
AURORA SAN DIEGO,20004,2000,Private,0.133199681
AURORA VISTA DEL MAR HOSPITAL,20004,2000,Private,-0.062588568
BAKERSFIELD HEART HOSPITAL,20004,2000,Private,0.149331768
BAKERSFIELD MEMORIAL HOSPITAL,20004,2000,Private,-0.202086237
BARLOW HOSPITAL,20004,2000,Private,-0.112576561
BARSTOW COMMUNITY HOSPITAL,20004,2000,Private,0.247279507
BARTON MEMORIAL HOSPITAL,20004,2000,Private,-0.074056838
BAY HARBOR HOSPITAL,20001,2000,Private,-0.709147943
BAYVIEW HOSPITAL & MENTAL HEALTH SYSTEM,20004,2000,Private,-0.069968372
BEAR VALLEY COMMUNITY HOSPITAL,20004,2000,Public,-0.110414404
BELLFLOWER MEDICAL CENTER,20004,2000,Private,0.008277496
BETTY FORD CENTER OF EISENHOWER,20004,2000,Private,0.031880882
BEVERLY HOSPITAL,20004,2000,Private,-0.070252077
BHC ALHAMBRA HOSPITAL,20004,2000,Private,0.142481528
BIGGS-GRIDLEY MEMORIAL HOSPITAL,20004,2000,Private,-0.214889909
BREA COMMUNITY HOSPITAL,20004,2000,Private,-0.550935269
BROTMAN MEDICAL CENTER,20004,2000,Private,0.127975749
BUTTE COUNTY MENTAL HEALTH - PHF,20004,2000,Public,0
CALIFORNIA HOSPITAL MEDICAL CENTER,20004,2000,Private,0.060404968
CALIFORNIA PACIFIC MEDICAL CENTER,20004,2000,Private,0.137529856
CANYON RIDGE HOSPITAL,20004,2000,Private,0.039584202
CASA COLINA HOSPITAL FOR REHABILITATIVE,20004,2000,Private,-0.015570966
CATALINA ISLAND MEDICAL CENTER,20004,2000,Private,-0.057894303
CEDAR VISTA HOSPITAL,20004,2000,Private,0.064857372
CEDARS-SINAI MEDICAL CENTER,20004,2000,Private,0.025350745
CENTINELA FREEMAN M.C-MEMORIAL,20004,2000,Private,-0.168983333
CENTINELA FREEMAN MED CTR-CENTINELA,20004,2000,Private,0.30631397
CENTINELA FREEMAN MED CTR-MARINA,20004,2000,Private,-0.190723321
CENTRAL VALLEY GENERAL HOSPITAL,20004,2000,Private,-0.151430659
CENTRAL VALLEY ORTHOPEDIC & SPINE INST,20004,2000,Private,-0.143615015
CENTURY CITY DOCTORS HOSPITAL,20004,2000,Private,-0.014019048
CHAPMAN MEDICAL CENTER,20004,2000,Private,-0.020353898
CHARTER BEHAVIORAL HEALTH SYSTEM - CORON,20001,2000,Private,-0.378540488
CHARTER BEHAVIORAL HEALTH SYSTEM OF NO C,20001,2000,Private,-1.74317049
CHARTER BHS OF SO CA/PALM SPRINGS,20001,2000,Private,-0.479784361
CHILDRENS HOSP & RESEARCH CTR OAKLAND,20004,2000,Private,0.031305067
CHILDRENS HOSP CENTRAL CALIF,20004,2000,Private,0.015244377
CHILDRENS HOSPITAL AT MISSION,20004,2000,Private,-0.044381795
CHILDRENS HOSPITAL OF LOS ANGELES,20004,2000,Private,0.038216791
